Episode_No_In_Season,Title,Directed_By,Written_By,Original_Air_Date,US_Viewers_Million,Original_Air_Date_Year
1,"""The Wars to Come""",Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015 (2015-04-12)",8.00,2015
2,"""The House of Black and White""",Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015 (2015-04-19)",6.81,2015
3,"""High Sparrow""",Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015 (2015-04-26)",6.71,2015
4,"""Sons of the Harpy""",Mark Mylod,Dave Hill,"May 3, 2015 (2015-05-03)",6.82,2015
5,"""Kill the Boy""",Jeremy Podeswa,Bryan Cogman,"May 10, 2015 (2015-05-10)",6.56,2015
6,"""Unbowed, Unbent, Unbroken""",Jeremy Podeswa,Bryan Cogman,"May 17, 2015 (2015-05-17)",6.24,2015
7,"""The Gift""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015 (2015-05-24)",5.40,2015
8,"""Hardhome""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015 (2015-05-31)",7.01,2015
9,"""The Dance of Dragons""",David Nutter,David Benioff & D. B. Weiss,"June 7, 2015 (2015-06-07)",7.14,2015
10,"""Mother's Mercy""",David Nutter,David Benioff & D. B. Weiss,"June 14, 2015 (2015-06-14)",8.11,2015
1,"""The Red Woman""",Jeremy Podeswa,David Benioff & D. B. Weiss,"April 24, 2016 (2016-04-24)",7.94,2016
2,"""Home""",Jeremy Podeswa,Dave Hill,"May 1, 2016 (2016-05-01)",7.29,2016
3,"""Oathbreaker""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016 (2016-05-08)",7.28,2016
4,"""Book of the Stranger""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016 (2016-05-15)",7.82,2016
5,"""The Door""",Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016 (2016-05-22)",7.89,2016
6,"""Blood of My Blood""",Jack Bender,Bryan Cogman,"May 29, 2016 (2016-05-29)",6.71,2016
7,"""The Broken Man""",Mark Mylod,Bryan Cogman,"June 5, 2016 (2016-06-05)",7.80,2016
8,"""No One""",Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016 (2016-06-12)",7.60,2016
9,"""Battle of the Bastards""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016 (2016-06-19)",7.66,2016
10,"""The Winds of Winter""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016 (2016-06-26)",8.89,2016
1,"""Dragonstone""",Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017 (2017-07-16)",10.11,2017
2,"""Stormborn""",Mark Mylod,Bryan Cogman,"July 23, 2017 (2017-07-23)",9.27,2017
3,"""The Queen's Justice""",Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017 (2017-07-30)",9.25,2017
4,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017 (2017-08-06)",10.17,2017
5,"""Eastwatch""",Matt Shakman,Dave Hill,"August 13, 2017 (2017-08-13)",10.72,2017
6,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017 (2017-08-20)",10.24,2017
7,"""The Dragon and the Wolf""",Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017 (2017-08-27)",12.07,2017
1,"""Winterfell""",David Nutter,Dave Hill,"April 14, 2019 (2019-04-14)",11.76,2019
2,"""A Knight of the Seven Kingdoms""",David Nutter,Bryan Cogman,"April 21, 2019 (2019-04-21)",10.29,2019
3,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019 (2019-04-28)",12.02,2019
4,"""The Last of the Starks""",David Nutter,David Benioff & D. B. Weiss,"May 5, 2019 (2019-05-05)",11.80,2019
5,"""The Bells""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019 (2019-05-12)",12.48,2019
6,"""The Iron Throne""",David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019 (2019-05-19)",13.61,2019
